project_id,company_id,project_name,start_date,completion_date,project_status,automation_type,robots_deployed,budget_usd,annual_savings_usd,roi_percent,department,implementation_partner,country,industry,employee_hours_saved,ai_enabled,cloud_deployment
PRJ-0000001,COMP-0103,IT Service Management Tool,2021-06-03,2021-01-08,In Progress,Intelligent Process Automation,33,1735280.97,5668642.34,326.67,Compliance,Cognizant,Germany,Healthcare,10286,true,true
PRJ-0000002,COMP-0063,Data Validation Automation,2022-10-28,2023-09-20,Failed,Cognitive Automation,48,1065397.79,-244295.71,-22.93,Finance,IBM,Netherlands,Manufacturing,6991,false,false
PRJ-0000003,COMP-0041,Customer Onboarding KYC Module,2023-04-12,2024-09-19,On Hold,AI + RPA,84,1548741.32,5708195.88,368.57,Sales,BCG,Germany,Banking,15999,false,true
PRJ-0000004,COMP-0013,Contract Management Engine,2022-09-23,2024-08-07,Planning,Digital Process Automation,27,711010.24,2509012.93,352.88,Supply Chain,PwC,Poland,Logistics,16802,true,false
PRJ-0000005,COMP-0103,Inventory Management Tool,2021-09-02,2021-10-24,Planning,Robotic Process Automation,21,1354484.78,1121513.4,82.8,Legal,BCG,United Kingdom,Insurance,15608,true,false
PRJ-0000006,COMP-0008,Workflow Orchestration Solution,2023-11-02,2023-11-21,In Progress,Digital Process Automation,9,1766787.54,4315201.89,244.24,Customer Service,Cognizant,France,Logistics,13326,true,true
PRJ-0000007,COMP-0078,Compliance Monitoring Platform,2020-05-17,2021-10-22,Completed,Digital Process Automation,77,1671949.33,4719745.76,282.29,Human Resources,EY,Netherlands,Technology,10629,true,true
PRJ-0000008,COMP-0033,Loan Processing Pipeline,2023-07-20,2024-06-25,Planning,Intelligent Process Automation,11,188756.97,559381.28,296.35,Operations,BCG,Singapore,Banking,18602,true,false
PRJ-0000009,COMP-0118,Credit Risk Analysis Platform,2020-12-01,2020-08-24,In Progress,Intelligent Process Automation,19,323328.12,1246138.91,385.41,Customer Service,Cognizant,India,Telecom,14543,false,true
PRJ-0000010,COMP-0199,Asset Tracking Engine,2023-08-13,2025-07-28,Failed,Intelligent Process Automation,20,264706.96,-12679.46,-4.79,Operations,IBM,Germany,Insurance,20330,true,true
PRJ-0000011,COMP-0091,Returns Processing Module,2021-08-27,2021-03-08,On Hold,Digital Process Automation,75,772417.83,1348641.53,174.6,Sales,BCG,Germany,Healthcare,24947,true,true
